date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:43	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:44%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	(from https://digital-flow-staging.b12sites.com/)
13:53:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:44%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://digital-flow-staging.b12sites.com/)
13:53:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:44%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	(from https://digital-flow-staging.b12sites.com/)
13:53:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:44%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	(from https://digital-flow-staging.b12sites.com/)
13:53:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:45%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	(from https://digital-flow-staging.b12sites.com/)
13:53:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:45%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	(from https://digital-flow-staging.b12sites.com/)
13:53:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:45%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot?	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475d41d.eot	(from https://digital-flow-staging.b12sites.com/)
13:53:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:45%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	(from https://digital-flow-staging.b12sites.com/)
13:53:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:46%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	(from https://digital-flow-staging.b12sites.com/)
13:53:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:46%20GMT	http://digital-flow-staging.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	(from https://digital-flow-staging.b12sites.com/)
13:53:46	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:46%20GMT	http://digital-flow-staging.b12sites.com/index	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/index	(from https://digital-flow-staging.b12sites.com/)
13:53:46	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:47%20GMT	http://digital-flow-staging.b12sites.com/index	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/index	(from https://digital-flow-staging.b12sites.com/)
13:53:47	372134/372134	---M--	200	added ('OK')	image/png	etag:%228d32d72b09a1c5cc4bed2184a8f9c130%22	https://cdn.b12.io/client_media/arDhRqG2/7726ccf8-f551-11ef-81c4-0242ac110002-1-regular_image.png	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/cdn.b12.io/client_media/arDhRqG2/7726ccf8-f551-11ef-81c4-0242ac110002-1-regular_image.png	(from https://digital-flow-staging.b12sites.com/)
13:53:47	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:47%20GMT	http://digital-flow-staging.b12sites.com/index	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/index	(from https://digital-flow-staging.b12sites.com/)
13:53:47	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:47%20GMT	http://digital-flow-staging.b12sites.com/index	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/index	(from https://digital-flow-staging.b12sites.com/)
13:53:47	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:48%20GMT	http://digital-flow-staging.b12sites.com/index	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/index	(from https://digital-flow-staging.b12sites.com/)
13:53:47	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:48%20GMT	http://digital-flow-staging.b12sites.com/window.location	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/window.location	(from https://digital-flow-staging.b12sites.com/)
13:53:48	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:53:48%20GMT	http://digital-flow-staging.b12sites.com/index	C:/Users/mfire/OneDrive/Desktop/Diogo/Digital%20Flow/webpage/codigo%20pagina/meu%20site/Site%20Digital%20Flow/digital-flow-staging.b12sites.com/index	(from https://digital-flow-staging.b12sites.com/)
